period,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,true_clean_candidate_v0,breakout_close_strength_directional,entry_close_distance_from_neckline_atr,false_break_return_inside_neckline,sl_atr,h4_pullback_depth_bucket,retest_quality,failure_type,winning_type
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2026.02.12 18:50:00,USDJPY,SHORT,-53.13,-1.011,neckline_break_late,0,0.592,0.415,0,1.45,38-42_shallow_zone,unclear,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2026.02.13 16:50:00,GBPJPY,SHORT,-48.41,-1.014,neckline_break_late,0,0.591,0.371,1,1.34,50-58,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2026.02.13 17:20:00,EURJPY,SHORT,-50.4,-1.02,neckline_break_late,0,0.646,0.437,0,1.67,50-58,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,13,2026.02.18 12:50:00,XAUUSD,SHORT,-42.56,-1.01,neckline_break_initial,0,0.417,0.016,1,1.42,42-50,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,14,2026.02.23 17:35:00,EURUSD,LONG,-47.79,-1.0,neckline_break_late,0,0.0,0.247,1,1.11,42-50,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,15,2026.02.26 09:35:00,USDJPY,LONG,-47.63,-1.014,neckline_break_late,0,0.027,0.397,1,1.77,58-62_deep_zone,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,16,2026.02.27 12:35:00,XAUUSD,SHORT,-46.2,-1.011,neckline_break_initial,0,0.99,0.395,1,1.66,50-58,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,17,2026.03.02 21:20:00,XAUUSD,LONG,-38.35,-1.01,neckline_break_initial,0,0.51,0.215,0,1.62,42-50,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,18,2026.03.04 14:35:00,GBPUSD,SHORT,-47.82,-1.003,clean_nested_nwave_entry,0,0.048,0.141,1,2.12,58-62_deep_zone,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,19,2026.03.11 17:35:00,EURUSD,LONG,-46.2,-1.008,neckline_break_late,0,0.232,0.178,1,1.11,50-58,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,20,2026.03.18 20:50:00,GBPUSD,LONG,-45.8,-1.004,neckline_break_initial,0,0.014,0.176,1,2.12,38-42_shallow_zone,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,21,2026.03.20 09:05:00,XAUUSD,SHORT,-30.59,-1.043,neckline_break_late,0,0.45,1.139,0,2.14,42-50,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,22,2026.03.20 11:50:00,XAUUSD,SHORT,57.29,2.004,neckline_break_late,0,0.763,0.872,0,1.7,42-50,no_retest_break_and_go,,strong_body_breakout
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,23,2026.03.24 11:20:00,GBPUSD,LONG,-47.36,-1.035,chasing_after_break,0,0.017,1.331,1,2.15,38-42_shallow_zone,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,24,2026.03.24 12:50:00,GBPUSD,LONG,-46.41,-1.0,chasing_after_break,0,0.588,0.065,1,0.78,38-42_shallow_zone,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,25,2026.03.26 14:05:00,XAUUSD,LONG,-34.93,-1.073,clean_nested_nwave_entry,0,0.677,0.336,1,1.8,58-62_deep_zone,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,-1.004,neckline_break_late,0,0.676,0.711,0,2.2,38-42_shallow_zone,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,2.039,neckline_break_late,0,0.976,0.519,1,1.67,38-42_shallow_zone,shallow_retest_then_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,-1.005,neckline_break_late,0,0.257,1.178,0,2.17,42-50,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,-1.0,neckline_break_late,0,0.062,0.515,1,2.16,58-62_deep_zone,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,-1.0,neckline_break_late,0,0.0,0.831,1,0.62,38-42_shallow_zone,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,-1.0,clean_nested_nwave_entry,0,0.457,0.101,1,1.02,38-42_shallow_zone,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,2.017,neckline_break_late,0,0.857,0.475,0,1.79,50-58,no_retest_break_and_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2026.01.29 03:05:00,USDJPY,SHORT,-50.76,-1.006,neckline_break_late,0,0.02,0.392,0,1.23,42-50,no_retest_break_and_go,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,-1.007,neckline_break_initial,0,0.846,0.461,0,1.9,58-62_deep_zone,unclear,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,-1.013,neckline_break_late,0,0.999,0.374,1,0.92,42-50,immediate_full_false_break,false_breakout,
