period,scenario,month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-10,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,2025-10,1,1,0,100.0,99.6,,99.6,0.0,0.0,0.0,0,99.6,99.6,0,2.177,0.904,100.0,100.0,100.0,100.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2026-01,9,2,7,22.22,-160.63,0.553,-17.85,0.0,217.15,2.16,-89.87,-70.76,-160.87,0.24,1.351,1.063,66.67,66.67,33.33,44.44
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2026-02,9,1,8,11.11,-274.56,0.26,-30.51,0.0,274.56,2.75,-148.88,-125.68,-95.42,-179.14,0.785,1.274,66.67,22.22,11.11,66.67
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2026-03,9,1,8,11.11,-281.49,0.169,-31.28,0.0,281.49,2.81,-234.91,-46.58,-260.37,-21.12,1.128,1.29,66.67,66.67,11.11,66.67
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2026-01,8,2,6,25.0,-109.87,0.644,-13.73,0.0,194.18,1.93,-39.11,-70.76,-160.87,51.0,1.262,1.085,62.5,62.5,25.0,50.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2026-02,8,0,8,0.0,-373.04,0.0,-46.63,0.0,373.04,3.73,-247.36,-125.68,-95.42,-277.62,0.642,1.35,62.5,12.5,0.0,75.0
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2026-03,9,1,8,11.11,-280.17,0.17,-31.13,0.0,280.17,2.8,-233.59,-46.58,-259.05,-21.12,1.128,1.29,66.67,66.67,11.11,66.67
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2026-01,5,1,4,20.0,-94.56,0.51,-18.91,0.0,145.47,1.45,-94.56,0,2.59,-97.15,1.189,0.924,60.0,60.0,20.0,40.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2026-02,7,1,6,14.29,-189.46,0.347,-27.07,0.0,189.46,1.89,-96.75,-92.71,-47.63,-141.83,0.907,1.289,85.71,28.57,14.29,71.43
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,2026-03,5,1,4,20.0,-63.95,0.594,-12.79,0.0,113.82,1.13,45.15,-109.1,-78.51,14.56,1.168,1.243,80.0,80.0,20.0,60.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,2026-01,4,1,3,25.0,-46.92,0.677,-11.73,0.0,145.47,1.45,-46.92,0,2.59,-49.51,1.368,0.898,75.0,75.0,25.0,50.0
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,2026-02,6,0,6,0.0,-290.29,0.0,-48.38,0.0,290.29,2.9,-197.58,-92.71,-47.63,-242.66,0.676,1.391,83.33,16.67,0.0,83.33
2026-Q1,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,2026-03,5,1,4,20.0,-63.95,0.594,-12.79,0.0,113.82,1.13,45.15,-109.1,-78.51,14.56,1.168,1.243,80.0,80.0,20.0,60.0
