outcome,trial_family,partition,strategy,stop_multiple,rr,delay_ms,spread_multiplier
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,1.5,100.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,1.5,100.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,1.5,250.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,1.5,250.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,2.0,0.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,2.0,0.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,2.0,100.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,2.0,100.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,2.0,250.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.0,2.0,250.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,0.8,0.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,0.8,0.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,0.8,100.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,0.8,100.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,0.8,250.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,0.8,250.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.0,0.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.0,0.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.0,100.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.0,100.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.0,250.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.0,250.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.2,0.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.2,0.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.2,100.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.2,100.0,1.25
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.2,250.0,1.0
,RR_GRID,DISCOVERY,detection_time_continuation,3.5,1.2,250.0,1.25
