check,status,actual,expected
LIGHTGBM__NET_R__SCALE_FREE__g1__m202503_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g1__m202503_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g1__m202504_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g1__m202504_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g2__m202502_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g2__m202502_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g2__m202503_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g2__m202503_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g2__m202504_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g2__m202504_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g3__m202502_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g3__m202502_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g3__m202503_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g3__m202503_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g3__m202504_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g3__m202504_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g4__m202502_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g4__m202502_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g4__m202503_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g4__m202503_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g4__m202504_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g4__m202504_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g5__m202502_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g5__m202502_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g5__m202503_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g5__m202503_converged,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g5__m202504_fit_indices,PASS,,
LIGHTGBM__NET_R__SCALE_FREE__g5__m202504_converged,PASS,,
LOGISTIC__NET_R__FULL486__g1__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g1__m202502_converged,PASS,,
LOGISTIC__NET_R__FULL486__g1__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g1__m202503_converged,PASS,,
LOGISTIC__NET_R__FULL486__g1__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g1__m202504_converged,PASS,,
LOGISTIC__NET_R__FULL486__g2__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g2__m202502_converged,PASS,,
LOGISTIC__NET_R__FULL486__g2__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g2__m202503_converged,PASS,,
LOGISTIC__NET_R__FULL486__g2__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g2__m202504_converged,PASS,,
LOGISTIC__NET_R__FULL486__g3__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g3__m202502_converged,PASS,,
LOGISTIC__NET_R__FULL486__g3__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g3__m202503_converged,PASS,,
LOGISTIC__NET_R__FULL486__g3__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g3__m202504_converged,PASS,,
LOGISTIC__NET_R__FULL486__g4__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g4__m202502_converged,PASS,,
LOGISTIC__NET_R__FULL486__g4__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g4__m202503_converged,PASS,,
LOGISTIC__NET_R__FULL486__g4__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g4__m202504_converged,PASS,,
LOGISTIC__NET_R__FULL486__g5__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g5__m202502_converged,PASS,,
LOGISTIC__NET_R__FULL486__g5__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g5__m202503_converged,PASS,,
LOGISTIC__NET_R__FULL486__g5__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__FULL486__g5__m202504_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g1__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g1__m202502_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g1__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g1__m202503_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g1__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g1__m202504_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g2__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g2__m202502_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g2__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g2__m202503_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g2__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g2__m202504_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g3__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g3__m202502_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g3__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g3__m202503_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g3__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g3__m202504_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g4__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g4__m202502_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g4__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g4__m202503_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g4__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g4__m202504_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g5__m202502_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g5__m202502_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g5__m202503_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g5__m202503_converged,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g5__m202504_fit_indices,PASS,,
LOGISTIC__NET_R__SCALE_FREE__g5__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g1__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g1__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g1__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g1__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g1__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g1__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g2__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g2__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g2__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g2__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g2__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g2__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g3__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g3__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g3__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g3__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g3__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g3__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g4__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g4__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g4__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g4__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g4__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g4__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g5__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g5__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g5__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g5__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__FULL486__g5__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__FULL486__g5__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g1__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g1__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g1__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g1__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g1__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g1__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g2__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g2__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g2__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g2__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g2__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g2__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g3__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g3__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g3__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g3__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g3__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g3__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g4__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g4__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g4__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g4__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g4__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g4__m202504_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g5__m202502_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g5__m202502_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g5__m202503_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g5__m202503_converged,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g5__m202504_fit_indices,PASS,,
RANDOM_FOREST__NET_R__SCALE_FREE__g5__m202504_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g1__m202502_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g1__m202502_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g1__m202503_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g1__m202503_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g1__m202504_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g1__m202504_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g2__m202502_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g2__m202502_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g2__m202503_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g2__m202503_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g2__m202504_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g2__m202504_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g3__m202502_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g3__m202502_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g3__m202503_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g3__m202503_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g3__m202504_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g3__m202504_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g4__m202502_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g4__m202502_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g4__m202503_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g4__m202503_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g4__m202504_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g4__m202504_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g5__m202502_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g5__m202502_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g5__m202503_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g5__m202503_converged,PASS,,
SHALLOW_TREE__NET_R__FULL486__g5__m202504_fit_indices,PASS,,
SHALLOW_TREE__NET_R__FULL486__g5__m202504_converged,PASS,,
SHALLOW_TREE__NET_R__SCALE_FREE__g1__m202502_fit_indices,PASS,,
SHALLOW_TREE__NET_R__SCALE_FREE__g1__m202502_converged,PASS,,
SHALLOW_TREE__NET_R__SCALE_FREE__g1__m202503_fit_indices,PASS,,
SHALLOW_TREE__NET_R__SCALE_FREE__g1__m202503_converged,PASS,,
SHALLOW_TREE__NET_R__SCALE_FREE__g1__m202504_fit_indices,PASS,,
SHALLOW_TREE__NET_R__SCALE_FREE__g1__m202504_converged,PASS,,
