run_id,period_id,variant,entry_time,symbol,direction,old_reconfirm_pass,new_micro_n_relaunch_detected,new_micro_n_relaunch_pass,old_vs_new_bucket,m5_micro_n_state,m5_active_oshiyasu_price,m5_active_modoritakane_price,m5_micro_anchor_creation_time,m5_relaunch_break_time,m5_relaunch_break_level,m5_relaunch_signal_age_bars,bars_from_relaunch_to_entry,result_r,mfe_r,mae_r,exit_type
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.21 03:05:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0055,0.5246,1.0055,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.21 03:05:00,EURJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0200,0.4867,1.0200,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.23 19:05:00,EURUSD,LONG,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.1296,0.6185,0.2778,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.23 19:05:00,USDJPY,SHORT,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.0840,0.5574,0.1541,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.23 19:05:00,GBPUSD,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.2696,0.7016,0.1754,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.24 10:10:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3394,1.0459,0.5291,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.24 16:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5370,0.0444,0.8370,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.27 03:10:00,USDJPY,SHORT,true,false,false,old_only,range_n,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3603,0.2500,0.4926,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.27 10:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3121,1.3121,0.6208,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.27 16:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2601,0.7939,0.2635,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.27 19:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3852,0.0926,0.6741,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.28 03:10:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3179,1.3179,0.4801,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.28 16:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2269,0.3769,0.2808,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.29 10:15:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5150,0.6300,0.5400,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.01.30 04:10:00,USDJPY,SHORT,true,false,false,old_only,range_n,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.1389,0.9954,0.2824,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.03 03:05:00,AUDJPY,SHORT,false,false,false,neither,no_confirmed_micro_anchor,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3750,0.3484,0.3750,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.03 19:15:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4412,0.3456,0.4412,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.05 16:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.6578,0.0066,0.6944,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.06 16:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2226,0.3774,0.2415,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 03:10:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.1573,0.7107,0.4382,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 16:05:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2248,0.2770,0.2248,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 16:05:00,GBPUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4872,0.2161,0.4872,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 16:05:00,EURUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4916,0.3240,0.4916,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 16:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3105,1.3394,0.2924,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 19:05:00,GBPUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0117,0.1362,1.0117,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 19:05:00,EURUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0251,0.0815,1.0251,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 19:05:00,AUDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5880,0.1796,0.8169,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.07 19:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0338,0.4928,1.0338,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.10 03:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.0403,0.6052,0.3862,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.12 10:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.7063,0.2308,0.7413,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.12 17:45:00,EURUSD,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5000,0.0924,0.5042,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.12 20:00:00,EURUSD,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5059,0.0711,0.5534,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.13 10:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3527,0.1037,0.4398,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.13 16:55:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0065,0.3871,1.0065,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.20 16:15:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4929,0.0684,0.5014,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.21 03:10:00,USDJPY,LONG,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5571,0.3905,0.7238,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.21 10:50:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5479,0.8032,0.5479,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.27 03:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.2783,0.7003,0.3242,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.27 16:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.7206,1.0952,0.8095,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.27 19:35:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.0472,0.6738,0.3906,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.28 03:15:00,USDJPY,SHORT,true,false,false,old_only,falling_n,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3178,0.6017,0.4703,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.28 16:15:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.7881,0.1523,0.9338,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.28 19:05:00,EURJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4307,0.6788,0.4307,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.02.28 19:05:00,GBPJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2131,0.1829,0.2664,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.03 03:05:00,USDJPY,SHORT,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2849,0.4896,0.3620,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.03 10:15:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.0641,1.1880,0.0983,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.03 19:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2794,0.6176,0.3897,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.04 03:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3260,1.3260,0.3323,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.04 03:05:00,EURJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3039,1.3039,0.5583,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.04 03:05:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.0375,1.0188,0.3865,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.04 10:10:00,EURJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4489,0.1317,0.4839,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.04 10:10:00,GBPJPY,SHORT,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.8537,0.1037,0.8537,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.04 10:10:00,USDJPY,SHORT,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.6844,0.1044,0.8378,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.04 17:45:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5093,0.0747,0.5973,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.05 03:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3811,0.1250,0.3872,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.05 03:05:00,GBPJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4661,0.5520,0.4706,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.05 03:05:00,EURJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5349,1.2126,0.6346,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.05 16:40:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0000,0.6243,1.0000,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.05 19:05:00,EURJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3144,1.3144,0.2710,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 10:05:00,EURUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4700,0.0737,0.7097,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 10:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3000,1.3000,0.2875,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 10:05:00,EURJPY,SHORT,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3064,1.3064,0.5441,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 10:50:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3074,1.3074,0.1474,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 16:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0187,0.8925,1.0187,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 19:05:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.4662,0.6352,0.4014,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 19:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.5081,0.6914,0.3666,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.06 19:05:00,AUDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.7714,0.9571,0.4143,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.07 03:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2876,0.2539,0.5389,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.07 10:05:00,USDJPY,LONG,true,false,false,old_only,falling_n,147.48100000,147.74200000,2025.03.07 09:55:00,,147.74200000,-1,-1,-0.5292,0.0000,0.6345,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.07 16:10:00,EURUSD,LONG,true,false,false,old_only,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.6336,0.5573,0.8550,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.07 17:00:00,AUDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2574,0.4079,0.2990,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.07 16:45:00,GBPJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.6315,0.3806,0.7167,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.10 03:20:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4464,0.6667,0.4493,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.10 16:35:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0652,0.8696,1.0942,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.10 19:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.0684,0.8761,0.3333,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.11 16:30:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0721,1.0180,1.0721,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.11 16:50:00,EURJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.7019,0.0518,0.7495,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.11 19:05:00,GBPJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4090,0.2553,0.5248,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.11 19:10:00,EURJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4170,0.1368,0.4170,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.12 10:15:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.0958,1.2490,0.2184,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.12 16:05:00,EURUSD,SHORT,true,false,false,old_only,no_confirmed_micro_anchor,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3830,0.2518,0.3830,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.12 16:55:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.0050,0.8515,0.5627,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.13 16:20:00,EURUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.6069,0.3793,0.6276,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.13 16:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3836,0.2170,0.5409,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.14 10:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.2991,1.2991,0.7477,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.14 19:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0112,0.4270,1.0112,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.19 10:10:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2834,0.1959,0.4631,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.19 10:20:00,GBPJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.0809,1.3423,0.1585,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.20 16:10:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.7532,0.2403,0.8312,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.27 19:10:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.0360,0.2734,0.4568,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.28 19:20:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.5720,0.8485,0.4583,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.03.31 19:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4044,0.0515,0.5184,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.01 19:05:00,USDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3000,1.3000,0.3111,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.03 10:05:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.8551,0.2754,0.8744,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.03 10:10:00,GBPJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,0.3938,1.2214,0.4900,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.03 16:05:00,EURJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-1.0079,0.3651,1.0079,full_sl
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.03 16:15:00,GBPUSD,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.4753,0.4784,0.8580,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.03 19:20:00,EURJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.2930,0.0215,0.3952,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.03 19:30:00,EURUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.1407,0.9548,0.3216,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.04 10:05:00,EURJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5749,0.1655,0.5749,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.04 16:05:00,EURUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.0819,0.3110,0.0819,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.04 16:05:00,GBPUSD,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3584,1.2139,0.3584,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.04 19:30:00,EURJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.5961,0.3522,0.8768,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.04 19:05:00,USDJPY,LONG,true,false,false,old_only,rising_n,0.00000000,0.00000000,,,0.00000000,-1,-1,1.3125,1.3125,0.2035,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.04 19:50:00,GBPJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,1.2998,1.2998,0.3159,tp
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.07 10:20:00,USDJPY,SHORT,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3708,0.6208,0.3708,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.07 10:05:00,EURUSD,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.6764,1.1091,0.7745,time
full2025_micro_n_diag,full2025_validation,micro_n_diag,2025.04.07 11:10:00,AUDJPY,LONG,false,false,false,neither,unknown,0.00000000,0.00000000,,,0.00000000,-1,-1,-0.3048,0.0000,0.3486,time
